Release date,Artist,Album,Main genre
5.19,Shamir,Ratchet,R&B
5.19,Twenty One Pilots,Blurryface,Pop-rap
5.25,The Vaccines,English Graffiti,
5.26,Lifehouse,Out of the Wasteland,
5.26,Unknown Mortal Orchestra,Multi-Love,Indie rock
6.01,Florence + The Machine,"How Big, How Blue, How Beautiful",Indie pop
6.01,Major Lazer,Peace is the Mission,Electronica
6.06,Young Guns,Ones and Zeros,Alternative rock
6.08,Muse,Drones,Alternative rock
6.09,Of Monsters and Men,Beneath the Skin,Indie pop
6.09,Tremonti,Cauterize,Heavy metal
6.15,Everything Everything,Get To Heaven,Indie
6.16,Hudson Mohawke,Lantern,Electronic
6.23,Breaking Benjamin,Dark Before Dawn,Alternative metal
7.21,Bea Miller,Not an Apology,Pop
7.28,Omar Souleyman,Bahdeni Nami,Folk
7.31,Kataklysm,Of Ghosts And Gods,Death metal
7.31,Natalie Imbruglia,Male,
9.04,a-ha,Cast In Steel,Pop
